record_id,underrep_group
273,None (not underrepresented)
274,None (not underrepresented)
275,Racial/ethnic minority
275,Rural background
276,None (not underrepresented)
277,None (not underrepresented)
277,Disability
278,None (not underrepresented)
279,None (not underrepresented)
280,None (not underrepresented)
280,Rural background
281,None (not underrepresented)
282,None (not underrepresented)
282,LGBTQIA+
283,None (not underrepresented)
284,Racial/ethnic minority
285,None (not underrepresented)
286,None (not underrepresented)
287,None (not underrepresented)
288,None (not underrepresented)
289,None (not underrepresented)
290,Racial/ethnic minority
290,LGBTQIA+
291,None (not underrepresented)
293,None (not underrepresented)
294,None (not underrepresented)
295,None (not underrepresented)
296,None (not underrepresented)
297,None (not underrepresented)
298,None (not underrepresented)
299,None (not underrepresented)
300,LGBTQIA+
301,None (not underrepresented)
302,Rural background
303,First-generation college student
304,None (not underrepresented)
305,Racial/ethnic minority
306,None (not underrepresented)
307,None (not underrepresented)
308,Rural background
309,Rural background
311,None (not underrepresented)
312,Racial/ethnic minority
312,Other
314,None (not underrepresented)
315,Rural background
316,Rural background
317,None (not underrepresented)
318,LGBTQIA+
319,Disability
320,None (not underrepresented)
321,Racial/ethnic minority
322,Rural background
323,None (not underrepresented)
324,None (not underrepresented)
325,First-generation college student
325,Rural background
326,None (not underrepresented)
327,Racial/ethnic minority
328,None (not underrepresented)
329,None (not underrepresented)
330,None (not underrepresented)
331,None (not underrepresented)
332,None (not underrepresented)
333,Racial/ethnic minority
334,None (not underrepresented)
336,None (not underrepresented)
337,None (not underrepresented)
338,None (not underrepresented)
339,None (not underrepresented)
340,None (not underrepresented)
341,None (not underrepresented)
342,None (not underrepresented)
343,Racial/ethnic minority
343,First-generation college student
344,None (not underrepresented)
345,None (not underrepresented)
346,Rural background
347,Disability
347,Rural background
348,None (not underrepresented)
349,LGBTQIA+
350,None (not underrepresented)
351,None (not underrepresented)
352,LGBTQIA+
353,None (not underrepresented)
354,None (not underrepresented)
354,Rural background
355,None (not underrepresented)
356,LGBTQIA+
356,Veteran
357,None (not underrepresented)
358,None (not underrepresented)
359,None (not underrepresented)
360,None (not underrepresented)
361,None (not underrepresented)
362,None (not underrepresented)
363,None (not underrepresented)
364,First-generation college student
364,Rural background
365,None (not underrepresented)
366,None (not underrepresented)
367,None (not underrepresented)
368,Disability
369,None (not underrepresented)
370,Racial/ethnic minority
371,None (not underrepresented)
373,None (not underrepresented)
374,None (not underrepresented)
375,Racial/ethnic minority
376,None (not underrepresented)
377,Racial/ethnic minority
378,LGBTQIA+
378,Rural background
379,None (not underrepresented)
380,None (not underrepresented)
381,None (not underrepresented)
382,None (not underrepresented)
383,None (not underrepresented)
384,None (not underrepresented)
385,None (not underrepresented)
386,None (not underrepresented)
386,LGBTQIA+
387,LGBTQIA+
388,None (not underrepresented)
388,Veteran
389,None (not underrepresented)
390,None (not underrepresented)
390,Veteran
390,Rural background
391,None (not underrepresented)
392,Other
393,None (not underrepresented)
394,None (not underrepresented)
395,None (not underrepresented)
396,None (not underrepresented)
397,None (not underrepresented)
398,None (not underrepresented)
399,Disability
399,LGBTQIA+
400,None (not underrepresented)
401,None (not underrepresented)
402,None (not underrepresented)
403,First-generation college student
404,LGBTQIA+
404,First-generation college student
405,Disability
406,None (not underrepresented)
407,None (not underrepresented)
408,None (not underrepresented)
409,Racial/ethnic minority
410,None (not underrepresented)
411,None (not underrepresented)
412,None (not underrepresented)
413,None (not underrepresented)
414,Disability
415,LGBTQIA+
416,None (not underrepresented)
417,None (not underrepresented)
418,None (not underrepresented)
419,Racial/ethnic minority
420,None (not underrepresented)
421,None (not underrepresented)
422,None (not underrepresented)
423,None (not underrepresented)
424,None (not underrepresented)
425,LGBTQIA+
426,None (not underrepresented)
427,Racial/ethnic minority
428,None (not underrepresented)
429,None (not underrepresented)
430,None (not underrepresented)
431,Disability
431,Rural background
431,Other
432,None (not underrepresented)
433,None (not underrepresented)
434,Racial/ethnic minority
435,Racial/ethnic minority
436,None (not underrepresented)
437,None (not underrepresented)
438,None (not underrepresented)
439,None (not underrepresented)
441,None (not underrepresented)
442,Rural background
443,First-generation college student
444,Veteran
444,Rural background
445,None (not underrepresented)
446,Racial/ethnic minority
447,None (not underrepresented)
448,None (not underrepresented)
449,Disability
449,LGBTQIA+
449,First-generation college student
